A0 f (kHz),A0 Phase velocity (m/ms),A0 Energy velocity (m/ms),A0 Propagation time (micsec),A0 Coincidence angle (deg),A0 Wavelength (mm),A0 Wavenumber (rad/mm),A0 Attenuation (Np/m),A1 f (kHz),A1 Phase velocity (m/ms),A1 Energy velocity (m/ms),A1 Propagation time (micsec),A1 Coincidence angle (deg),A1 Wavelength (mm),A1 Wavenumber (rad/mm),A1 Attenuation (Np/m),A2 f (kHz),A2 Phase velocity (m/ms),A2 Energy velocity (m/ms),A2 Propagation time (micsec),A2 Coincidence angle (deg),A2 Wavelength (mm),A2 Wavenumber (rad/mm),A2 Attenuation (Np/m),A3 f (kHz),A3 Phase velocity (m/ms),A3 Energy velocity (m/ms),A3 Propagation time (micsec),A3 Coincidence angle (deg),A3 Wavelength (mm),A3 Wavenumber (rad/mm),A3 Attenuation (Np/m),A4 f (kHz),A4 Phase velocity (m/ms),A4 Energy velocity (m/ms),A4 Propagation time (micsec),A4 Coincidence angle (deg),A4 Wavelength (mm),A4 Wavenumber (rad/mm),A4 Attenuation (Np/m)
2284.2,2.85850767946269,2.97467270921515,33.6171437248249,6.8916801770366,1.25142617960892,5.02081977311929,0,3045.6,3.49613840782115,2.52355323124127,39.626665592789,5.63024513657423,1.14793091930035,5.47348729922625,0,4460.4,4.32043735897074,2.20079747719283,45.4380746235462,4.55351014806661,0.968621056176742,6.48673210964465,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2289.6,2.85877057166279,2.97429954942597,33.6213613787824,6.89104334520791,1.24858952291352,5.03222651790166,0,3051,3.49375970118513,2.52619776776191,39.5851826314435,5.63409085639478,1.14511953496727,5.48692526440848,0,4465.8,4.31541320630314,2.20147843036407,45.4240198862464,4.55882271053694,0.96632478084624,6.50214651607838,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2295,2.85903146511187,2.97392762820397,33.625566086957,6.89041147179557,1.24576534427533,5.04363469095745,0,3056.4,3.49140152104713,2.52882962213755,39.5439847447979,5.63790858823065,1.1423248007614,5.50034920277634,0,4471.2,4.3104160328862,2.20218595819041,45.4094258607353,4.56411906901922,0.964040086081185,6.51755606213501,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2300.4,2.85929037562833,2.9735569421093,33.6297578781406,6.88978451579658,1.24295356269706,5.05504428785401,0,3061.8,3.48906363773774,2.53144881278631,39.5030701371095,5.64169857993701,1.13954655357559,5.51375921191166,0,4476.6,4.30544575576775,2.2029194594089,45.3943059846739,4.56939915529879,0.961766911443449,6.5329605670771,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2305.8,2.85954731828352,2.97318748966446,33.6339367589918,6.88916243806595,1.24015409761624,5.06645530523732,0,3067.2,3.48674582564437,2.53405535665943,39.4624370526093,5.64546107543001,1.13678463277399,5.52715538724986,0,4482,4.30050228928597,2.20367834307578,45.3786734866328,4.57466290475311,0.959505196181609,6.54835985483329,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2311.2,2.85980230864687,2.97281926737964,33.6381027589827,6.88854519830104,1.23736686943876,5.07786773863556,0,3072.6,3.4844478625508,2.53664927119136,39.4220837447638,5.64919631569352,1.13403887995535,5.54053782303036,0,4487.4,4.29558554574617,2.20446202736809,45.3625414085224,4.57991025566705,0.957254879383646,6.56375375304974,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2316.6,2.8600553627681,2.97245226982369,33.6422559296239,6.88793275508493,1.23459179952003,5.08928158248118,0,3078,3.482169528428,2.53923057814633,39.3820084165028,5.65290454068882,1.13130913854061,5.55390661414165,0,4492.8,4.29069543423411,2.20526994194508,45.345922554859,4.58514115053354,0.955015899713788,6.57914209497728,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2322,2.86030649534986,2.97208649545425,33.6463962784893,6.88732507030838,1.23182880936686,5.10069683336033,0,3083.4,3.4799106059862,2.54179930156945,39.3422092524199,5.65658598840817,1.12859525393598,5.5672618551841,0,4498.2,4.28583186191066,2.20610152555686,45.3288295400449,4.59035553470797,0.952788195702872,6.59452471757847,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2327.4,2.86055572098314,2.97172194267563,33.6505238138006,6.88672210617775,1.2290778211666,5.11211348783091,0,3088.8,3.47767088120275,2.54435546578877,39.3026844497922,5.66024089396145,1.12589707368646,5.58060363955552,0,4503.6,4.28099473405519,2.20695622602709,45.3112747868215,4.59555335638964,0.950571705758768,6.60990146152541,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2332.8,2.86080305533656,2.97135860606577,33.6546385871631,6.88612382233771,1.22633875828899,5.12353154029477,0,3094.2,3.47545014326581,2.54689909537897,39.2634322189825,5.66386948961177,1.12321444743902,5.59393205946161,0,4509,4.27618395289759,2.207833502586,45.2932704766331,4.60073456790831,0.948366367908092,6.62527217307278,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
